Prompt: E = 4.29288, Time = 2025-08-30 03:06:38.6
Delayed: E = 2.22322, Time = 2025-08-30 03:06:38.6
Prompt: E = 4.01759, Time = 2025-08-30 03:11:00.9
Delayed: E = 2.26194, Time = 2025-08-30 03:11:00.9
Prompt: E = 8.81116, Time = 2025-08-30 03:37:07.4
Delayed: E = 2.2279, Time = 2025-08-30 03:37:07.4
Prompt: E = 3.39303, Time = 2025-08-30 04:11:54.2
Delayed: E = 2.16178, Time = 2025-08-30 04:11:54.2
Prompt: E = 4.61543, Time = 2025-08-30 04:37:41.3
Delayed: E = 2.24846, Time = 2025-08-30 04:37:41.3
Prompt: E = 3.70309, Time = 2025-08-30 06:40:35.9
Delayed: E = 2.29067, Time = 2025-08-30 06:40:35.9
Prompt: E = 0.960253, Time = 2025-08-30 06:53:28.2
Delayed: E = 2.24775, Time = 2025-08-30 06:53:28.2
Prompt: E = 2.79853, Time = 2025-08-30 07:30:48.5
Delayed: E = 2.25568, Time = 2025-08-30 07:30:48.5
Prompt: E = 2.93121, Time = 2025-08-30 07:38:50.3
Delayed: E = 2.28319, Time = 2025-08-30 07:38:50.3
Prompt: E = 1.29484, Time = 2025-08-30 10:46:35.1
Delayed: E = 2.25496, Time = 2025-08-30 10:46:35.1
Prompt: E = 1.22758, Time = 2025-08-30 10:52:42.2
Delayed: E = 2.09549, Time = 2025-08-30 10:52:42.2
Prompt: E = 3.81515, Time = 2025-08-30 11:10:13.5
Delayed: E = 2.19993, Time = 2025-08-30 11:10:13.5
Prompt: E = 2.20322, Time = 2025-08-30 11:10:25.8
Delayed: E = 2.25663, Time = 2025-08-30 11:10:25.8
Prompt: E = 5.26888, Time = 2025-08-30 11:37:03.6
Delayed: E = 2.20991, Time = 2025-08-30 11:37:03.6
Prompt: E = 5.33824, Time = 2025-08-30 12:47:48.5
Delayed: E = 2.39029, Time = 2025-08-30 12:47:48.5
Prompt: E = 3.13829, Time = 2025-08-30 14:28:05.6
Delayed: E = 2.25176, Time = 2025-08-30 14:28:05.6
Prompt: E = 2.99479, Time = 2025-08-30 14:40:26.8
Delayed: E = 2.17872, Time = 2025-08-30 14:40:26.8
Prompt: E = 4.81749, Time = 2025-08-30 14:47:50.7
Delayed: E = 2.08058, Time = 2025-08-30 14:47:50.7
Prompt: E = 5.20983, Time = 2025-08-30 15:38:59.5
Delayed: E = 2.22607, Time = 2025-08-30 15:38:59.5
Prompt: E = 1.43347, Time = 2025-08-30 15:41:15.3
Delayed: E = 2.20584, Time = 2025-08-30 15:41:15.3
Prompt: E = 1.3271, Time = 2025-08-30 16:09:28.1
Delayed: E = 2.21794, Time = 2025-08-30 16:09:28.1
Prompt: E = 1.37088, Time = 2025-08-30 16:30:43.8
Delayed: E = 2.29474, Time = 2025-08-30 16:30:43.8
Prompt: E = 4.13552, Time = 2025-08-30 18:43:05.2
Delayed: E = 2.14896, Time = 2025-08-30 18:43:05.2
