Prompt: E = 4.29288, Q = 8808.75, Time = 2025-08-30 03:06:38.6
Delayed: E = 2.22322, Q = 4591.05, Time = 2025-08-30 03:06:38.6
Prompt: E = 4.01759, Q = 8343.16, Time = 2025-08-30 03:11:00.9
Delayed: E = 2.26194, Q = 5040.28, Time = 2025-08-30 03:11:00.9
Prompt: E = 8.81116, Q = 18595, Time = 2025-08-30 03:37:07.4
Delayed: E = 2.2279, Q = 4928.03, Time = 2025-08-30 03:37:07.4
Prompt: E = 3.39303, Q = 7286.93, Time = 2025-08-30 04:11:54.2
Delayed: E = 2.16178, Q = 4591.04, Time = 2025-08-30 04:11:54.2
Prompt: E = 4.61543, Q = 9495.6, Time = 2025-08-30 04:37:41.3
Delayed: E = 2.24846, Q = 4890.64, Time = 2025-08-30 04:37:41.3
Prompt: E = 3.70309, Q = 7545.51, Time = 2025-08-30 06:40:35.9
Delayed: E = 2.29067, Q = 4756.94, Time = 2025-08-30 06:40:35.9
Prompt: E = 0.960253, Q = 2362.24, Time = 2025-08-30 06:53:28.2
Delayed: E = 2.24775, Q = 4951.28, Time = 2025-08-30 06:53:28.2
Prompt: E = 2.79853, Q = 5761.05, Time = 2025-08-30 07:30:48.5
Delayed: E = 2.25568, Q = 5079.86, Time = 2025-08-30 07:30:48.5
Prompt: E = 2.93121, Q = 6211.8, Time = 2025-08-30 07:38:50.3
Delayed: E = 2.28319, Q = 4960.64, Time = 2025-08-30 07:38:50.3
Prompt: E = 1.22758, Q = 2628.69, Time = 2025-08-30 10:52:42.2
Delayed: E = 2.09549, Q = 4294.43, Time = 2025-08-30 10:52:42.2
Prompt: E = 3.81515, Q = 7914.49, Time = 2025-08-30 11:10:13.5
Delayed: E = 2.19993, Q = 4825.17, Time = 2025-08-30 11:10:13.5
Prompt: E = 2.20322, Q = 4523.62, Time = 2025-08-30 11:10:25.8
Delayed: E = 2.25663, Q = 4707, Time = 2025-08-30 11:10:25.8
Prompt: E = 5.26888, Q = 10184.2, Time = 2025-08-30 11:37:03.6
Delayed: E = 2.20991, Q = 4562.92, Time = 2025-08-30 11:37:03.6
Prompt: E = 5.33824, Q = 10917.3, Time = 2025-08-30 12:47:48.5
Delayed: E = 2.39029, Q = 5013.65, Time = 2025-08-30 12:47:48.5
Prompt: E = 1.2384, Q = 2626.48, Time = 2025-08-30 12:59:49.7
Delayed: E = 2.21042, Q = 4395.93, Time = 2025-08-30 12:59:49.7
Prompt: E = 3.13829, Q = 6352.09, Time = 2025-08-30 14:28:05.6
Delayed: E = 2.25176, Q = 4691.03, Time = 2025-08-30 14:28:05.6
Prompt: E = 2.99479, Q = 6574.42, Time = 2025-08-30 14:40:26.8
